sku_id,period,y_true,y_pred,y_lower,y_upper,model_name
1,101,,23.76,15.96,31.55,linear_trend_baseline
1,102,,24.08,16.28,31.87,linear_trend_baseline
1,103,,24.4,16.6,32.19,linear_trend_baseline
1,104,,24.71,16.92,32.51,linear_trend_baseline
2,101,,12.79,0.0,27.25,linear_trend_baseline
2,102,,12.85,0.0,27.32,linear_trend_baseline
2,103,,12.92,0.0,27.38,linear_trend_baseline
2,104,,12.99,0.0,27.45,linear_trend_baseline
3,101,,20.59,14.4,26.78,linear_trend_baseline
3,102,,20.89,14.7,27.08,linear_trend_baseline
3,103,,21.19,15.0,27.39,linear_trend_baseline
3,104,,21.5,15.3,27.69,linear_trend_baseline
4,101,,12.57,8.16,16.98,linear_trend_baseline
4,102,,12.7,8.29,17.12,linear_trend_baseline
4,103,,12.84,8.43,17.25,linear_trend_baseline
4,104,,12.97,8.56,17.38,linear_trend_baseline
5,101,,14.49,7.98,20.99,linear_trend_baseline
5,102,,14.64,8.13,21.14,linear_trend_baseline
5,103,,14.78,8.28,21.29,linear_trend_baseline
5,104,,14.93,8.43,21.44,linear_trend_baseline
6,101,,14.44,6.21,22.66,linear_trend_baseline
6,102,,14.45,6.23,22.67,linear_trend_baseline
6,103,,14.46,6.24,22.68,linear_trend_baseline
6,104,,14.47,6.25,22.69,linear_trend_baseline
7,101,,181.09,0.0,363.68,linear_trend_baseline
7,102,,184.11,1.52,366.69,linear_trend_baseline
7,103,,187.12,4.54,369.7,linear_trend_baseline
7,104,,190.13,7.55,372.71,linear_trend_baseline
8,101,,29.01,15.79,42.23,linear_trend_baseline
8,102,,29.03,15.81,42.25,linear_trend_baseline
8,103,,29.05,15.83,42.27,linear_trend_baseline
8,104,,29.07,15.85,42.29,linear_trend_baseline
9,101,,25.37,0.0,66.8,linear_trend_baseline
9,102,,23.66,0.0,65.09,linear_trend_baseline
9,103,,21.95,0.0,63.37,linear_trend_baseline
9,104,,20.23,0.0,61.66,linear_trend_baseline
10,101,,32.01,20.41,43.6,linear_trend_baseline
10,102,,32.54,20.95,44.14,linear_trend_baseline
10,103,,33.08,21.49,44.68,linear_trend_baseline
10,104,,33.62,22.02,45.22,linear_trend_baseline
11,101,,106.48,28.43,184.53,linear_trend_baseline
11,102,,107.74,29.69,185.79,linear_trend_baseline
11,103,,108.99,30.94,187.04,linear_trend_baseline
11,104,,110.25,32.2,188.3,linear_trend_baseline
12,101,,50.11,3.49,96.72,linear_trend_baseline
12,102,,50.72,4.1,97.34,linear_trend_baseline
12,103,,51.33,4.72,97.95,linear_trend_baseline
12,104,,51.94,5.33,98.56,linear_trend_baseline
13,101,,22.49,15.6,29.37,linear_trend_baseline
13,102,,22.68,15.8,29.56,linear_trend_baseline
13,103,,22.88,15.99,29.76,linear_trend_baseline
13,104,,23.07,16.19,29.95,linear_trend_baseline
14,101,,61.4,26.17,96.64,linear_trend_baseline
