sku_id,period,promotion_flag,incremental_sales,lift_pct
1,2016-11-28,1,0.0,0.0
1,2016-12-05,1,28.77,49.41
1,2016-12-12,1,19.21,42.89
1,2016-12-19,1,62.27,94.73
1,2016-12-26,1,0.0,0.0
1,2017-01-02,1,66.83,76.67
1,2017-01-09,1,26.6,45.54
1,2017-04-03,1,0.0,0.0
1,2018-02-12,1,0.0,0.0
1,2018-03-12,1,13.71,89.65
1,2018-04-02,1,8.96,47.08
1,2018-04-23,1,8.11,42.94
1,2018-05-07,1,4.72,22.2
1,2018-07-02,1,8.92,46.79
1,2018-07-16,1,11.76,58.11
1,2018-07-23,1,0.0,0.0
1,2018-09-17,1,9.42,41.72
2,2017-02-27,1,0.0,0.0
2,2017-03-06,1,1.31,19.5
2,2017-04-24,1,0.0,0.0
2,2017-05-01,1,12.16,112.1
2,2017-05-15,1,11.89,78.73
2,2017-05-22,1,0.26,3.88
2,2018-02-19,1,29.87,156.2
2,2018-04-02,1,0.0,0.0
3,2017-05-22,1,0.75,9.05
3,2017-05-29,1,1.52,16.09
3,2017-07-17,1,0.0,0.0
3,2017-07-24,1,6.29,72.17
3,2018-05-14,1,7.31,49.75
3,2018-06-04,1,2.97,17.46
3,2018-06-25,1,7.69,41.99
3,2018-07-02,1,0.0,0.0
3,2018-07-09,1,0.0,0.0
3,2018-07-16,1,17.34,98.13
3,2018-07-30,1,1.52,8.23
3,2018-08-20,1,6.1,34.05
3,2018-08-27,1,0.0,0.0
3,2018-09-10,1,1.57,9.53
4,2016-11-28,1,0.0,0.0
4,2016-12-05,1,0.0,0.0
4,2016-12-12,1,0.0,0.0
4,2016-12-19,1,6.67,40.84
4,2016-12-26,1,1.24,9.03
4,2017-01-02,1,0.0,0.0
4,2017-01-09,1,4.83,39.7
4,2017-01-16,1,0.0,0.0
4,2017-01-23,1,0.0,0.0
4,2017-01-30,1,1.73,20.93
4,2017-02-06,1,2.73,32.99
4,2017-02-13,1,0.0,0.0
4,2017-02-20,1,1.47,19.54
4,2017-03-13,1,1.16,13.16
4,2017-03-27,1,0.0,0.0
4,2017-04-10,1,0.21,2.43
4,2017-04-17,1,0.0,0.0
4,2017-05-22,1,0.14,1.54
4,2017-05-29,1,11.83,105.93
4,2017-06-12,1,0.54,6.32
4,2017-08-14,1,0.01,0.29
4,2017-09-18,1,1.6,29.72
4,2017-10-09,1,0.0,0.0
4,2017-11-06,1,0.31,6.61
4,2017-12-04,1,4.18,42.53
4,2017-12-11,1,0.0,0.0
4,2017-12-25,1,2.67,32.03
4,2018-02-05,1,0.0,0.0
