sku_id,elasticity_value,confidence_low,confidence_high,model_type,n_obs,r_squared,low_evidence
1,-1.2884,-1.7249,-0.852,log_log_ols,100,0.624,False
2,-0.9206,-2.2168,0.3755,log_log_ols,100,0.0734,False
3,-0.8542,-1.7395,0.031,log_log_ols,100,0.2067,False
4,-0.6611,-1.1612,-0.161,log_log_ols,100,0.2079,False
5,-0.8413,-1.4761,-0.2064,log_log_ols,100,0.1877,False
6,-0.5197,-0.9245,-0.1149,log_log_ols,100,0.3711,False
7,-2.3231,-2.7456,-1.9005,log_log_ols,100,0.5565,False
8,-1.4549,-2.032,-0.8778,log_log_ols,100,0.3872,False
9,-2.0991,-3.0402,-1.158,log_log_ols,100,0.1681,False
10,0.0395,-1.6105,1.6895,log_log_ols,100,0.009,True
11,-3.2854,-4.1768,-2.394,log_log_ols,100,0.3659,False
12,-2.3154,-2.8389,-1.7919,log_log_ols,100,0.5493,False
13,-1.4491,-2.3285,-0.5697,log_log_ols,100,0.2488,False
14,-1.7849,-2.1008,-1.4689,log_log_ols,100,0.6441,False
15,-2.2847,-2.9904,-1.5791,log_log_ols,100,0.3034,False
16,-1.7893,-2.1218,-1.4568,log_log_ols,100,0.5851,False
17,-1.5921,-2.0314,-1.1527,log_log_ols,100,0.4999,False
18,-1.1617,-2.1286,-0.1947,log_log_ols,100,0.1623,False
19,-4.1102,-4.79,-3.4305,log_log_ols,100,0.6549,False
20,-0.6352,-0.9328,-0.3376,log_log_ols,100,0.1596,False
21,-0.5331,-1.1642,0.0979,log_log_ols,100,0.2521,False
22,-0.2788,-0.5223,-0.0354,log_log_ols,100,0.0543,False
23,-0.8851,-1.7583,-0.0118,log_log_ols,100,0.0876,False
24,-1.6153,-1.955,-1.2756,log_log_ols,100,0.4976,False
25,-2.9462,-3.5869,-2.3055,log_log_ols,100,0.6099,False
26,-1.5034,-1.9987,-1.0081,log_log_ols,100,0.3185,False
27,-0.9311,-1.2238,-0.6383,log_log_ols,100,0.4466,False
28,-1.0858,-1.7425,-0.429,log_log_ols,100,0.1812,False
29,-1.9856,-2.5709,-1.4003,log_log_ols,99,0.4067,False
30,-3.3405,-3.831,-2.8501,log_log_ols,100,0.6575,False
31,-1.7566,-2.1708,-1.3424,log_log_ols,100,0.4228,False
32,-2.063,-2.4781,-1.648,log_log_ols,99,0.537,False
33,-3.6102,-4.2496,-2.9709,log_log_ols,100,0.5829,False
34,-2.4615,-3.1917,-1.7313,log_log_ols,100,0.3508,False
35,-1.8466,-2.5244,-1.1688,log_log_ols,100,0.4622,False
36,-1.4283,-2.0889,-0.7677,log_log_ols,100,0.2043,False
37,-0.1382,-0.8118,0.5354,log_log_ols,100,0.0025,True
38,-0.4053,-0.7,-0.1106,log_log_ols,100,0.3938,False
39,-1.2624,-1.5915,-0.9334,log_log_ols,100,0.3742,False
40,-0.8275,-1.1175,-0.5374,log_log_ols,100,0.2901,False
41,-0.9002,-1.5111,-0.2893,log_log_ols,100,0.0815,False
42,-1.0827,-1.6944,-0.471,log_log_ols,100,0.2494,False
43,-1.1607,-2.1237,-0.1977,log_log_ols,99,0.1375,False
44,-1.8143,-2.7624,-0.8663,log_log_ols,100,0.2258,False
