sku_id,n_promo_weeks,mean_incremental_sales,mean_lift_pct,confidence_low,confidence_high
11,1,54.56,91.79,54.56,54.56
38,8,13.99,59.42,8.49,19.89
6,8,18.84,52.97,12.17,27.73
2,8,6.94,46.3,1.75,13.05
13,9,10.16,42.71,5.12,15.6
19,30,45.08,41.71,16.27,80.51
1,17,15.84,38.69,8.48,25.32
29,10,42.1,37.66,5.91,108.94
21,17,13.29,37.42,6.69,23.0
17,42,15.05,36.28,8.45,23.99
25,31,612.98,34.53,433.79,829.43
18,21,5.22,33.66,2.64,8.07
12,20,46.47,32.44,11.19,83.56
32,49,6.76,29.37,3.6,10.9
44,25,4.34,26.78,2.94,6.3
23,37,33.35,26.73,23.03,44.63
3,14,3.79,25.46,1.79,6.25
26,6,14.87,25.33,8.62,19.94
42,41,2.23,23.5,1.55,2.87
28,34,18.88,22.4,12.46,27.04
33,21,114.63,21.09,27.79,237.52
14,43,17.86,20.97,12.44,23.91
5,68,1.91,20.83,1.35,2.5
8,58,6.82,20.68,5.44,8.33
34,70,34.62,18.58,14.5,61.18
27,33,24.01,17.48,13.8,35.09
35,66,6.59,15.76,4.51,9.0
15,76,63.85,15.63,31.99,102.2
36,70,10.06,14.65,3.89,17.45
4,47,1.44,13.81,0.96,2.06
43,89,1.56,13.05,1.06,2.08
16,75,15.72,13.03,6.9,30.35
30,76,53.81,12.55,35.47,73.56
41,16,7.48,12.33,2.48,13.15
39,63,2.16,11.84,1.32,3.04
24,11,1.55,11.1,0.49,2.75
9,75,9.22,10.53,6.35,12.69
20,14,12.02,10.47,1.14,32.38
10,71,1.78,10.25,0.92,2.81
7,5,8.54,9.26,0.0,24.5
31,17,5.84,8.35,2.94,9.38
22,7,5.58,5.2,0.96,10.07
40,3,3.02,3.22,0.0,9.07
